word,meaning,phonetic,example,example_cn
PE,体育（课）,/ˌpiː ˈiː/,PE class is my favorite subject.,体育课是我最喜欢的科目。
job,工作；职业,/dʒəʊb/,My sister found a good job in a hospital.,我姐姐在医院找到了一份好工作。
doctor,医生,/ˈdɒktə(r)/,The doctor checked my heart.,医生检查了我的心脏。
farmer,农场主；农民,/ˈfɑːmə(r)/,The farmer gets up early to milk the cows.,农夫早起挤牛奶。
nurse,护士,/nɜːs/,The nurse took care of the sick patient.,护士照顾了那位生病的病人。
worker,工人,/ˈwɜːkə(r)/,Your father is a hard worker.,你父亲是个勤劳的工人。
office worker,公司职员,/ˈɒfɪs ˈwɜːkə(r)/,,
factory worker,工厂工人,/ˈfæktri ˈwɜːkə(r)/,,
busy,忙碌的,/ˈbɪzi/,My mother is busy cooking dinner in the kitchen.,我妈妈正在厨房忙着做晚饭。
tired,疲倦的,/ˈtaɪəd/,I'm tired after playing all day.,玩了一整天我很疲倦。
chore,家庭杂务,/tʃɔː(r)/,,
cook,烹饪；煮；厨师,/kʊk/,My mother cooks delicious food for us every day.,我妈妈每天给我们做美味的食物。
clean,打扫；干净的,/kliːn/,Please clean your room before dinner.,请在晚饭前打扫你的房间。
room,房间,/ruːm/,My room is small but very clean.,我的房间很小但很干净。
also,也,/ˈɔːlsəʊ/,She is a talented singer and also plays the guitar.,她是一位有才华的歌手，还会弹吉他。
look after,照顾,/lʊk ˈɑːftə(r)/,,
sweep,扫,/swiːp/,,
floor,地板；地面,/flɔː(r)/,The book fell on the floor.,书掉在了地板上。
together,在一起；共同,/təˈɡeðə(r)/,Let's sing together.,我们一起唱吧。
fun,享乐；乐趣,/fʌn/,We had so much fun at the park today.,我们今天在公园玩得很开心。
helpful,有帮助的；有用的,/ˈhelpfl/,/'helpful/,
people,人；人们,/ˈpiːpl/,Many people came to the concert.,很多人来参加了音乐会。
child,儿童；小孩,/tʃaɪld/,,
his,他的,/hɪz/,That is his car.,那是他的车。
strong,强壮的,/strɒŋ/,My dad is very strong.,我爸爸很强壮。
hair,头发,/heə(r)/,She has long black hair.,她有一头长长的黑发。
kind,友好的,/kaɪnd/,Grandma is very kind to everyone.,奶奶对每个人都很慈祥。
quiet,文静的,/ˈkwaɪət/,Please be quiet in the library.,在图书馆里请保持安静。
best,最好的,/best/,This is the best cake I have ever eaten.,这是我吃过的最好的蛋糕。
read,阅读,/riːd/,I like to read a book before going to sleep.,我喜欢在睡觉前读一本书。
Chinese,中文；中国人；中国的,/ˌtʃaɪˈniːz/,She can speak Chinese very well.,她中文说得很好。
play,玩耍,/pleɪ/,The children are playing in the park.,孩子们正在公园里玩耍。
game,游戏,/geɪm/,The children are playing a game in the yard.,孩子们正在院子里玩游戏。
football,足球运动,/ˈfʊtbɔːl/,The boys are playing football on the playground.,男孩们正在操场上踢足球。
both,两者,/bəʊθ/,Both of my parents are teachers.,我的父母都是老师。
basketball,篮球运动,/ˈbɑːskɪtbɔːl/,He plays basketball with his friends every Saturday afternoon.,他每周六下午和朋友打篮球。
always,总是,/ˈɔːlweɪz/,She always arrives on time for class.,她总是准时上课。
afternoon,下午,/ˌɑːftəˈnuːn/,ɑ:ftə:'nu:n/,
there,（表示存在或发生）,/ðeə(r)/,There is a cat under the bed.,床底下有一只猫。
playground,游乐场；操场,/ˈpleɪɡraʊnd/,The students are running on the playground.,学生们正在操场上跑步。
park,公园,/pɑːk/,Let us go for a walk in the park.,我们去公园散步吧。
over,在……的远端（或对面）,/ˈəʊvə(r)/,The bird is flying over the house.,那只鸟正在房子上方飞翔。
hospital,医院,/ˈhɒspɪtl/,My father is in the hospital.,我父亲在医院里。
shop,商店,/ʃɒp/,The shop sells fruits and vegetables.,这家商店卖水果和蔬菜。
toilet,厕所；卫生间,/ˈtɔɪlət/,,
bus,公共汽车,/bʌs/,I take the bus to school every morning.,我每天早上坐公交车去上学。
stop,车站；停下,/stɒp/,Please stop talking and listen.,请停止讲话，注意听。
library,图书馆,/ˈlaɪbrəri/,She goes to the library every weekend to study.,她每个周末都去图书馆学习。
sport,体育运动,/spɔːt/,My favorite sport is basketball.,我最喜欢的运动是篮球。
walk,散步；行走,/wɔːk/,I walk to school every day.,我每天走路去上学。
take,（与名词连用）；带走,/teɪk/,Please take a seat.,请坐下。
favourite,最喜欢的,/ˈfeɪvərɪt/,Chocolate is my favourite dessert.,巧克力是我最喜欢的甜点。
place,地方；场所,/pleɪs/,,
photo,照片,/ˈfəʊtəʊ/,I took a photo of the sunset.,我拍了一张日落的照片。
