word,meaning,phonetic,example,example_cn
weekly,每周的,/wiːk.li/,This is our weekly plan.,这是我们每周的计划。
activity,活动,/ækˈtɪ.və.ti/,We have many activities at school.,我们学校有很多活动。
week,星期，周,/wiːk/,There are seven days in a week.,一周有七天。
Sunday,星期日,/ˈsʌndeɪ/,We go to the park on Sunday.,我们星期天去公园。
Monday,星期一,/ˈmʌndeɪ/,We have PE on Monday.,我们星期一有体育课。
Tuesday,星期二,/ˈtjuːzdeɪ/,Tuesday comes after Monday.,星期二在星期一之后。
Wednesday,星期三,/ˈwenzdeɪ/,We have music on Wednesday.,我们星期三有音乐课。
Thursday,星期四,/ˈθɜːzdeɪ/,I read books on Thursday.,我星期四看书。
Friday,星期五,/ˈfraɪdeɪ/,Friday is my favorite day.,星期五是我最喜欢的一天。
Saturday,星期六,/ˈsætədeɪ/,We visit grandma on Saturday.,我们星期六去看奶奶。
fifty,五十,/ˈfɪfti/,There are fifty students in our grade.,我们年级有五十个学生。
must,必须,/mʌst/,We must go to school on time.,我们必须按时上学。
robot,机器人,/ˈɹoʊbət/,The robot can help us clean.,机器人能帮我们打扫。
weekday,工作日,/ˈwiːkdeɪ/,We go to school on weekdays.,我们工作日上学。
piano,钢琴,/piˈænəʊ/,She plays the piano very well.,她钢琴弹得很好。
chess,国际象棋,/t͡ʃɛs/,Let's play chess together.,我们一起下棋吧。
every,每个,/ˈevri/,I get up early every day.,我每天早起。
sit,坐,/sɪt/,Please sit down.,请坐。
door,门,/dɔː/,"Open the door, please.",请开门。
helpful,有帮助的；乐于助人的,/ˈhɛlp.fəl/,She is helpful at home.,她在家很乐于助人。
foot(复数feet),脚,/fʊt/（feet /fiːt/）,We go to school on foot.,我们步行上学。
tomorrow,明天,/təˈmɔɹoʊ/,Tomorrow is Saturday.,明天是星期六。
weekend,周末,/wiːˈkɛnd/,We have a good weekend.,我们周末过得很愉快。
hooray,好哇,/həˈɹeɪ/,Hooray! No school tomorrow!,好哇！明天不用上学！
film,电影,[ˈfɪlm̩],Let's watch a film tonight.,我们今晚看电影吧。
evening,傍晚,/ˈivnɪŋ/,I do my homework in the evening.,我傍晚做作业。
picnic,野餐,/ˈpɪknɪk/,We have a picnic in the park.,我们在公园野餐。
subject,科目,/ˈsʌb.dʒɪkt/,What's your favorite subject?,你最喜欢的科目是什么？
science,科学,/ˈsaɪəns/,I like science class.,我喜欢科学课。
math,数学,/mɑːθ/,Math is interesting.,数学很有趣。
because,因为,/biˈkɔz/,I like English because it's fun.,我喜欢英语因为它很有趣。
useful,有用的,/ˈjuːsfəl/,English is very useful.,英语很有用。
but,但是,/bʊt/,"I like PE, but I don't like math.",我喜欢体育，但不喜欢数学。
worry,担心,/ˈwɒɹi/,Don't worry. I can help you.,别担心，我可以帮你。
water,水；浇水,/ˈwoːtə/,We water the flowers every day.,我们每天给花浇水。
poem,诗,/ˈpəʊ̯ɪm/,We read a Chinese poem in class.,我们在课上读了一首中文诗。
kind,体贴的；友好的,/kaɪnd/,Our teacher is very kind.,我们的老师很和蔼。
exercise,锻炼,/ˈɛk.sə.saɪz/,We do exercise every morning.,我们每天早上锻炼。
fox,狐狸,/fɑks/,The fox is very clever.,狐狸很聪明。
enjoy,欣赏；享受,/ənˈd͡ʒɔɪ/,I enjoy reading books.,我喜欢读书。
search,搜查；搜寻,/sɜːt͡ʃ/,We search for information online.,我们在网上搜索信息。
internet,互联网,/ˈɪntəˌnɛt/,We can learn on the internet.,我们可以在互联网上学习。
information,信息,/ˌɪnfəˈmeɪʃən/,There is much information here.,这里有很多信息。
tell,告诉,/tel/,Please tell me your name.,请告诉我你的名字。
story,故事,/ˈstɔː.ɹi/,Grandma tells us a story every night.,奶奶每晚给我们讲故事。
fly,飞；放飞,/flaɪ/,We fly kites in spring.,我们春天放风筝。
why,为什么,/waɪ/,Why do you like English?,你为什么喜欢英语？
slide show,幻灯片放映,/ˈslaɪd ʃəʊ/,We watch a slide show in class.,我们在课上看幻灯片。
zero,零,/ˈzɪəɹəʊ/,The number is zero.,数字是零。
feeling,感觉,/ˈfiːlɪŋ/,How are you feeling today?,你今天感觉怎么样？
tired,疲倦的,/taɪəd/,I'm tired after running.,跑步后我很累。
excited,激动的,/ɪkˈsaɪtɪd/,We are excited about the trip.,我们对旅行感到很兴奋。
over,在……上面；结束,/ˈəʊ.və(ɹ)/,The game is over.,比赛结束了。
nervous,紧张的,/ˈnɜːvəs/,I feel nervous before the test.,考试前我感到紧张。
winner,获胜者,/ˈwɪnə/,He is the winner of the race.,他是赛跑的获胜者。
proud,自豪的,/pɹaʊd/,We are proud of our class.,我们为我们班感到自豪。
feel,感到；觉得,/fiːl/,I feel happy today.,我今天感到很高兴。
better,较好的；更好的,[ˈbeɾə],You will feel better soon.,你很快会感觉好一些的。
next,下一个的,/nekst/,See you next time.,下次见。
sad,悲伤的,/sæd/,Don't be sad. It's OK.,别难过，没事的。
him,他（宾格）,/əm/,Let's help him.,我们来帮他吧。
high,高的,/haɪ/,The bird flies high in the sky.,鸟在天上飞得很高。
angry,愤怒的,/ˈæŋ.ɡɹi/,Don't be angry with me.,别生我的气。
count,数数；计算,数数，计数,Let's count from one to ten.,我们从一数到十吧。
parent,父，母；家长,/ˈpɛəɹənt/,My parents love me very much.,我父母非常爱我。
farm,农场,农场,We live on a farm.,我们住在农场。
poor,可怜的；贫穷的,/poː/,The poor little dog is hungry.,那只可怜的小狗饿了。
duckling,小鸭,/ˈdʌklɪŋ/,The ugly duckling becomes a swan.,丑小鸭变成了天鹅。
bored,厌倦的；烦闷的,/bɔːd/,I feel bored at home.,我在家觉得很无聊。
ugly,丑陋的,/ˈʌɡli/,The duckling thinks he is ugly.,小鸭子觉得自己很丑。
lonely,孤独的；寂寞的,/ˈləʊnli/,The old man feels lonely.,那位老人感到孤独。
thirsty,渴的,/ˈθɜː(ɹ)st.i/,I'm thirsty. Give me some water.,我渴了，给我点水。
swan,天鹅,/swɒn/,The swan is beautiful.,天鹅很美丽。
by,通过；以……（方式）,/baɪ/,I go to school by bike.,我骑自行车上学。
subway,地铁,/ˈsʌbˌweɪ/,We go to the city by subway.,我们乘地铁去城里。
near,在附近,/nɪə(ɹ)/,My home is near the school.,我家在学校附近。
far,遥远的,/fɑː/,The park is far from here.,公园离这里很远。
away,去别处；离开,/əˈweɪ/,The school is two kilometers away.,学校有两公里远。
dad,爸爸,爸爸,My dad drives a car.,我爸爸开小汽车。
take,带走；搭乘,/teɪk/,We take the bus to school.,我们乘公共汽车上学。
does,做（do的第三人称单数）,/dəʊz/,How does she go to work?,她怎么去上班？
work,工作,/wɜːk/,My mother works in a hospital.,我妈妈在医院工作。
his,他的,/ˈhɪz/,His father is a teacher.,他爸爸是一名老师。
office,办公室,/ˈɑfɪs/,He works in an office.,他在办公室工作。
live,生活；居住,/lɪv/,We live in Fuzhou.,我们住在福州。
forty,四十,/ˈfɔɹti/,There are forty students in our class.,我们班有四十个学生。
travel,旅游,/ˈtɹævəl/,We travel by train in summer.,夏天我们乘火车旅行。
