word,meaning,phonetic,example,example_cn
Africa,非洲,,She traveled to Africa to explore the wildlife.,她去了非洲探索野生动物。
African,非洲人；非洲的,,He is an African artist known for his sculptures.,他是一位以雕塑闻名的非洲艺术家。
America,美洲；美国,,She traveled to America to study at a university.,她前往美国上大学。
American,美国人；美洲的,,American culture has spread around the world.,美国文化已经传播到世界各地。
April,四月,,April is the fourth month of the year.,四月是一年中的第四个月。
Arabian,阿拉伯的,,The Arabian horse is known for its speed and endurance.,阿拉伯马以其速度和耐力而闻名。
Asia,亚洲,,Asia is the largest continent in the world.,亚洲是世界上最大的洲。
Asian,亚洲人；亚洲的,,She enjoys cooking Asian food at home.,她喜欢在家做亚洲菜。
Atlantic,大西洋；大西洋的,,The Atlantic Ocean separates Europe from America.,大西洋将欧洲与美洲隔开。
August,八月,,We usually go on vacation in August.,我们通常八月份去度假。
Australia,澳大利亚,,Kangaroos are native to Australia.,袋鼠是澳大利亚本土动物。
Australian,澳大利亚的,,My friend is Australian and she loves surfing.,我的朋友是澳大利亚人，她喜欢冲浪。
Bible,圣经；基督教《圣经》,,He reads a passage from the Bible every morning.,他每天早上读一段圣经。
Britain,不列颠，英国,,Britain has a long and rich history.,英国有着悠久而丰富的历史。
British,不列颠的，英联邦的,,The British often drink tea in the afternoon.,英国人经常在下午喝茶。
Canada,加拿大,,Canada is known for its beautiful natural landscapes.,加拿大以其美丽的自然风光而闻名。
Canadian,加拿大的,,My neighbor is Canadian and he loves hockey.,我的邻居是加拿大人，他非常喜欢冰球。
China,中国,,China has a history of more than five thousand years.,中国有五千多年的历史。
Chinese,中国人；中国的,,She can speak Chinese very well.,她中文说得很好。
Christ,基督， 救世主,,Christ is a central figure in Christianity.,基督是基督教的核心人物。
Christian,基督教徒，信徒；基督教徒；信徒；基督教的,,She is a Christian who goes to church every Sunday.,她是一名基督徒，每周日去教堂。
Christmas,圣诞节,,We decorate the tree every Christmas.,我们每年圣诞节都装饰圣诞树。
December,十二月,,December is the last month of the year.,十二月是一年中的最后一个月。
England,英格兰；英国,,England is famous for its history.,英格兰以其历史而闻名。
English,英国人的；英语,,He is learning English at school.,他正在学校学习英语。
Englishman,英国男子,,He is an Englishman from Manchester.,他是一位来自曼彻斯特的英格兰人。
Europe,欧洲,,They traveled across Europe by train.,他们乘火车穿越了欧洲。
European,欧洲人；欧洲的,,She speaks three European languages.,她会说三种欧洲语言。
FALSE,不真实的；伪造的,,His statement turned out to be false.,他的陈述结果被证明是假的。
Fahrenheit,华氏温度计,,Water freezes at 32 degrees Fahrenheit.,水在华氏32度结冰。
February,二月,,February is the shortest month of the year.,二月是一年中最短的月份。
France,法国，法兰西,,France is famous for its wine and cheese.,法国以葡萄酒和奶酪闻名。
French,法国人；法国的,,She can speak French and English.,她会说法语和英语。
Friday,星期五,,We have a test this Friday.,我们这个星期五有考试。
German,德国人；德国的,,He can speak German and English.,他会说德语和英语。
