word,meaning,phonetic,example,example_cn
younger,更年轻的,,My younger brother is ten years old.,我的弟弟十岁了。
older,更年长的,,My older brother is in high school.,我哥哥在读高中。
taller,更高的,,Tom is taller than Jerry.,汤姆比杰瑞更高。
shorter,更矮的；更短的,,My brother is shorter than me.,我弟弟比我矮。
longer,更长的,,"In summer, the days are much longer.",夏天白天长得多。
thinner,更瘦的,,He looks thinner than before.,他看起来比以前更瘦了。
heavier,更重的,,This box is heavier than that one.,这个箱子比那个更重。
bigger,更大的,,This room is bigger than that one.,这个房间比那个大。
smaller,更小的,,My cat is smaller than yours.,我的猫比你的猫更小。
stronger,更强壮的,,He is stronger than his brother.,他比他哥哥更强壮。
than,比,/ðæn/,She is taller than me.,她比我高。
both,两个都,/bəʊθ/,Both of my parents are teachers.,我的父母都是老师。
kilogram,千克；公斤,/ˈkɪləɡræm/,A kilogram of apples costs five yuan.,一千克苹果要五块钱。
metre,米,/ˈmiːtə(r)/,The swimming pool is twenty-five metres long.,这个游泳池有二十五米长。
dinosaur,恐龙,/ˈdaɪnəsɔː(r)/,The dinosaur lived millions of years ago.,恐龙生活在数百万年前。
hall,大厅,/hɔːl/,The meeting will be held in the main hall.,会议将在主大厅举行。
countryside,乡村,/ˈkʌntrisaɪd/,We spent the weekend in the beautiful countryside.,我们在美丽的乡村度过了周末。
lower,更低的,,Please lower your voice when you are in the library.,在图书馆里请降低你的音量。
shadow,阴影；影子,/ˈʃædəʊ/,The tree cast a long shadow on the grass.,树在草地上投下了长长的影子。
smarter,更聪明的,,My dog is smarter than I thought.,我的狗比我想象的更聪明。
become,开始变得；变成,/bɪˈkʌm/,She wants to become a doctor.,她想成为一名医生。
cleaned,打扫,,I cleaned the kitchen after dinner last night.,昨晚晚饭后我打扫了厨房。
stayed,停留；待,,I stayed at my friend's house yesterday.,我昨天待在朋友家。
washed,洗,,I washed my hands before lunch.,午饭前我洗了手。
watched,看,,I watched a movie yesterday.,我昨天看了一部电影。
had,患病；得病,/hæd/,She had a cold and stayed home.,她感冒了，待在家里。
had a cold,感冒,,Tom had a cold last week.,汤姆上周感冒了。
slept,睡觉,,The baby slept peacefully all night.,婴儿整晚都睡得很安稳。
read,读,/red/,I like to read a book before going to sleep.,我喜欢在睡觉前读一本书。
saw,看见,,I saw a beautiful bird in the garden.,我在花园里看见了一只漂亮的鸟。
yesterday,昨天,/ˈjestədeɪ/,"Yesterday, I went to the park.",昨天我去了公园。
drank,喝,,She drank a glass of water after the run.,她跑步后喝了一杯水。
magazine,杂志,/ˌmæɡəˈziːn/,mægə'zi:n/,
better,更好的,/ˈbetə(r)/,You should try to do better next time.,你下次应该努力做得更好。
faster,更快的,,He runs faster than his brother.,他比他哥哥跑得更快。
fixed,修理,,My father fixed my broken bicycle yesterday.,我爸爸昨天修好了我坏掉的自行车。
broken,破损的,/ˈbrəʊkən/,"The window is broken, so we need to fix it.",窗户破了，我们需要修好它。
lamp,台灯,/læmp/,I turned on the lamp to read a book.,我打开台灯看书。
loud,喧闹的；大声的,/laʊd/,"The music was too loud, so I asked them to turn it down.",音乐太吵了，所以我让他们把音量调低。
enjoy,享受……乐趣,/ɪnˈdʒɔɪ/,I enjoy reading books before I go to sleep.,我喜欢在睡觉前读书。
went,去,,We went to the zoo yesterday.,我们昨天去了动物园。
camp,野营,/kæmp/,We went to summer camp for two weeks last July.,去年七月我们去夏令营待了两周。
went camping,（尤指在假日）野营,,We went camping last summer.,去年夏天我们去野营了。
fishing,钓鱼,/ˈfɪʃɪŋ/,,
went fishing,去钓鱼,,My dad and I went fishing on Sunday.,星期天我和爸爸去钓鱼了。
rode,骑（马；自行车）,,She rode her horse along the beach.,她骑着马沿着海滩走。
hurt,（使）受伤,/hɜːt/,Be careful with that knife or you might hurt yourself.,小心那把刀，否则你可能会伤到自己。
ate,吃,,We ate lunch at a small restaurant.,我们在一家小餐馆吃了午饭。
took,拍照,,He took a book from the shelf.,他从书架上拿了一本书。
took pictures,照相,,We took pictures at the park.,我们在公园拍了照。
bought,买,,She bought a new dress yesterday.,她昨天买了一条新裙子。
gift,礼物,/ɡɪft/,She received a lovely gift for her birthday.,她收到了一份可爱的生日礼物。
fell,摔倒,,He fell off his bike but he was not hurt.,他从自行车上摔了下来，但没有受伤。
off,从（某处）落下,/ɒf/,Please turn off the lights when you leave.,离开时请关灯。
Labour Day,劳动节,,We celebrate Labour Day on May first.,我们在五月一日庆祝劳动节。
mule,骡子,/mjuːl/,A mule can carry heavy loads.,骡子能驮重物。
Turpan,吐鲁番,,Turpan is famous for its grapes and hot weather.,吐鲁番以葡萄和炎热的天气闻名。
could,能,/kʊd/,"When I was young, I could run very fast.",我年轻时能跑得很快。
till,直到,/tɪl/,I will wait for you till you come back.,我会一直等到你回来。
beach,海滩；沙滩,/biːtʃ/,We spent the whole day swimming and playing on the beach.,我们一整天都在海滩上游玩和游泳。
basket,篮；筐,/ˈbɑːskɪt/,She carried a basket full of fresh vegetables from the market.,她提着一个装满新鲜蔬菜的篮子从市场回来。
part,角色,/pɑːt/,I spent part of the day reading.,我花了这一天的一部分时间读书。
licked,舔,,The dog licked my face happily.,狗开心地舔了我的脸。
laughed,笑,,Everyone laughed at the funny story.,听了那个有趣的故事，大家都笑了。
dining hall,饭厅,,The dining hall can seat two hundred people.,这个餐厅可以坐两百人。
grass,草坪,/ɡrɑːs/,Please keep off the grass.,请勿踩踏草坪。
gym,体育馆,/dʒɪm/,He goes to the gym three times a week.,他每周去体育馆三次。
ago,以前,/əˈɡəʊ/,We moved to this city two years ago.,我们两年前搬到了这个城市。
cycling,骑自行车运动,/ˈsaɪklɪŋ/,Cycling is good exercise for the legs.,骑自行车是很好的腿部运动。
go cycling,去骑自行车,,They like to go cycling in the countryside.,他们喜欢去乡下骑自行车。
ice-skate,滑冰,,She likes to ice-skate on the frozen pond.,她喜欢在结冰的池塘上滑冰。
badminton,羽毛球运动,/ˈbædmɪntən/,We play badminton in the park every Sunday morning.,我们每周日早上在公园打羽毛球。
Internet,互联网,/ˈɪntənet/,We can find information on the Internet.,我们可以在互联网上找到信息。
active,积极的；活跃的,/ˈæktɪv/,My grandfather is still very active for his age.,我的祖父就他的年龄而言仍然非常活跃。
race,赛跑,/reɪs/,Tom won the 100-meter race at school.,汤姆在学校的一百米赛跑中获胜了。
nothing,没有什么,/ˈnʌθɪŋ/,There is nothing in the box.,盒子里什么都没有。
thought,想,,I thought the movie was very interesting.,我觉得那部电影很有趣。
felt,感觉,,She felt very tired after the long trip.,长途旅行后她感到很累。
cheetah,猎豹,/ˈtʃiːtə/,The cheetah is the fastest animal on land.,猎豹是陆地上跑得最快的动物。
woke,醒,,I woke up at six this morning.,我今天早上六点醒了。
dream,梦,/driːm/,I had a strange dream last night.,我昨晚做了一个奇怪的梦。
