word,meaning,phonetic,example,example_cn
there,在那里,/ðeː(ɹ)/,There is a library in our school.,我们学校有一个图书馆。
new,新的,/njʉː/,We have a new classroom.,我们有一间新教室。
student,学生,/ˈstjuː.dənt/,I am a student of Grade Four.,我是四年级的学生。
cousin,表（堂）兄弟姐妹,/ˈkʌz.n̩/,My cousin is in Class Two.,我表弟在二班。
computer,电脑,/kəmˈpjuːtə/,We have computer class today.,我们今天有电脑课。
IT=Information Technology,信息技术,/ət/,I like IT class very much.,我非常喜欢信息技术课。
library,图书馆,/ˈlaɪbɹi/,We read books in the library.,我们在图书馆看书。
which,哪一个；哪一些,/wɪt͡ʃ/,Which class are you in?,你在哪个班？
grade,年级,/ɡɹeɪd/,We are in Grade Four now.,我们现在上四年级了。
same,同一的；相同的,/seɪm/,We are in the same class.,我们在同一个班。
cow,奶牛,/kaʊ/,The cow is on the farm.,奶牛在农场里。
card,卡片,卡片,Here is a card for you.,这张卡片送给你。
cold,寒冷的；冷的,/kɔʊld/,It is cold in winter.,冬天很冷。
blackboard,黑板,/ˈblækbɔːd/,"Look at the blackboard, please.",请看黑板。
clean,干净的；打扫,/kleːn/,Our classroom is clean.,我们的教室很干净。
bright,明亮的,/bɹaɪt/,Our classroom is big and bright.,我们的教室又大又明亮。
come,来；到,来,Come to our school.,来我们学校吧。
desk,书桌,/desk/,This is my desk.,这是我的书桌。
Ms.,女士,/mɪz/,Ms. Wang is our English teacher.,王女士是我们的英语老师。
city,城市,/sɪtɪ/,I live in a big city.,我住在一个大城市。
cinema,电影院,/ˈsɪn.ɪ.mɑː/,Let's go to the cinema.,我们去电影院吧。
ice,冰,[ʌɪs],There is ice on the road.,路上有冰。
sing,唱歌,/sɪŋ/,We sing in music class.,我们在音乐课上唱歌。
dance,跳舞,[dæːns],She can dance very well.,她跳舞跳得很好。
classmate,同班同学,/ˈklɑːs.meɪt/,Lily is my classmate.,莉莉是我的同班同学。
daily,每日的,每日的,This is my daily life.,这是我的日常生活。
life,生活；生命,/laɪf/,School life is interesting.,学校生活很有趣。
get,拿；得到,/ɡet/,I get up at seven.,我七点起床。
get up,起床,/ɡet ʌp/,When do you get up?,你什么时候起床？
bus,公共汽车,/bɔs/,I go to school by bus.,我乘公共汽车上学。
full,满的；饱的,/fʊl/,The bus is full.,公共汽车满了。
into,到……里面,/ˈɪn.tuː/,"Get into the car, please.",请上车。
