word,meaning,phonetic,example,example_cn
science,科学,/ˈsaɪəns/,We learned about plants in science class.,我们在科学课上学习了关于植物的知识。
museum,博物馆,/mjuˈziːəm/,We visited the art museum to see the new exhibition.,我们参观了艺术博物馆去看新的展览。
post office,邮局,,I went to the post office to mail a letter.,我去邮局寄了一封信。
bookstore,书店,/ˈbʊkstɔː(r)/,You can find this book at the bookstore.,你可以在书店找到这本书。
interesting,有趣的,/ˈɪntrəstɪŋ/,This book is very interesting.,这本书很有趣。
Italian,意大利的,/ɪˈtæliən/,Italian food is very popular around the world.,意大利菜在全世界都很受欢迎。
restaurant,餐馆,/ˈrestrɒnt/,We had dinner at a nice Italian restaurant.,我们在一家不错的意大利餐厅吃了晚餐。
pizza,比萨饼,/ˈpiːtsə/,We ordered a pizza for dinner.,我们点了一个比萨饼当晚饭。
street,大街；街道,/striːt/,There are many shops on this street.,这条街上有很多商店。
get,到达,/ɡet/,I need to get to the station before six.,我需要在六点前到达车站。
crossing,十字路口,/ˈkrɒsɪŋ/,Wait for the green light at the crossing.,在十字路口等绿灯。
turn,转弯,/tɜːn/,Please turn left at the corner.,请在拐角处左转。
left,左,/left/,Turn left at the next traffic light.,在下一个红绿灯处左转。
straight,笔直地,/streɪt/,Go straight and turn left at the corner.,一直走，在拐角处左转。
right,右,/raɪt/,Turn right at the next corner.,在下一个拐角向右转。
follow,跟着,/ˈfɒləʊ/,"Please follow me, and I will show you the way.",请跟我来，我会给你指路。
far,较远的,/fɑː(r)/,How far is it from here to the airport?,从这里到机场有多远？
tell,告诉,/tel/,Please tell me a story.,请给我讲个故事。
GPS,全球（卫星）定位系统,,We use GPS to find the way.,我们用全球定位系统来导航。
gave,提供；交给,/ɡeɪv/,She gave me a beautiful birthday card.,她给了我一张漂亮的生日贺卡。
feature,特点,/ˈfiːtʃə(r)/,The main feature of this phone is its long battery life.,这款手机的主要特点是其长续航电池。
on foot,步行,,I go to school on foot every day.,我每天步行去上学。
by,（表示方式）乘,/baɪ/,She goes to work by subway every day.,她每天坐地铁去上班。
bus,公共汽车,/bʌs/,I take the bus to school every morning.,我每天早上坐公交车去上学。
plane,飞机,/pleɪn/,The plane took off an hour late.,飞机晚点一小时起飞。
taxi,出租汽车,/ˈtæksi/,We took a taxi to the airport.,我们打车去了机场。
ship,（大）船,/ʃɪp/,The ship sailed across the ocean.,轮船横渡了大洋。
subway,地铁,/ˈsʌbweɪ/,I take the subway to work every morning.,我每天早上乘地铁上班。
train,火车,/treɪn/,I go to school by train.,我乘火车去上学。
slow down,慢下来,,You should slow down when driving in the rain.,下雨开车时你应该慢下来。
early,早到的,/ˈɜːli/,I wake up early every day.,我每天早起。
helmet,头盔,/ˈhelmɪt/,You should wear a helmet when riding a bike.,骑自行车时你应该戴头盔。
must,必须,/mʌst/,You must finish your homework before you can watch TV.,你必须先完成作业才能看电视。
attention,注意,/əˈtenʃn/,Please pay attention to what the teacher is saying.,请注意老师在说什么。
pay attention to,注意,,Please pay attention to the teacher.,请注意听老师讲课。
traffic,交通,/ˈtræfɪk/,The traffic is always heavy during rush hour.,高峰时段交通总是很拥堵。
traffic lights,交通信号灯,,The traffic lights are not working.,交通灯坏了。
Munich,慕尼黑（德国城市）,,Munich is a beautiful city in Germany.,慕尼黑是德国一个美丽的城市。
Germany,德国,/ˈdʒɜːməni/,He went to Germany last summer.,他去年夏天去了德国。
